tamanio	slow	fast
23	0.000003	0.000003
39	0.000010	0.000009
55	0.000014	0.000010
71	0.000050	0.000021
87	0.000044	0.000031
103	0.000071	0.000038
119	0.000062	0.000051
135	0.000112	0.000066
151	0.000162	0.000091
167	0.000213	0.000111
183	0.000232	0.000132
199	0.000325	0.000141
215	0.000184	0.000164
231	0.000217	0.000174
247	0.000230	0.000201
263	0.000297	0.000227
279	0.000328	0.000271
295	0.000363	0.000308
311	0.000416	0.000341
327	0.000481	0.000324
343	0.000712	0.000570
359	0.000793	0.000381
375	0.000607	0.000418
391	0.000629	0.000467
407	0.001519	0.000437
423	0.000712	0.000509
439	0.001377	0.000710
455	0.001340	0.000578
471	0.001896	0.000618
487	0.002097	0.000726
503	0.001319	0.001104
519	0.002050	0.000711
535	0.001726	0.000857
551	0.002897	0.000909
567	0.001548	0.000939
583	0.003773	0.001656
599	0.003370	0.001259
615	0.002558	0.001063
631	0.002769	0.001085
647	0.002792	0.003232
663	0.004446	0.001558
679	0.002999	0.001292
695	0.003734	0.002129
711	0.003694	0.001337
727	0.004591	0.001407
743	0.004623	0.001518
759	0.004650	0.001563
775	0.004828	0.001592
791	0.004843	0.001659
807	0.005173	0.001738
823	0.005991	0.001812
839	0.005801	0.001924
855	0.006110	0.001931
871	0.006556	0.002031
887	0.006763	0.002084
903	0.007171	0.002189
919	0.007539	0.002246
935	0.007453	0.002450
951	0.008064	0.002385
967	0.008310	0.002483
983	0.008508	0.002576
999	0.010294	0.002641
1015	0.008771	0.002723
1031	0.009100	0.002821
1047	0.009558	0.002908
1063	0.009995	0.002989
1079	0.010866	0.003087
1095	0.010787	0.003193
1111	0.012940	0.003318
1127	0.011311	0.003359
1143	0.011917	0.003481
1159	0.012214	0.003563
1175	0.012452	0.003672
1191	0.012623	0.003764
1207	0.013290	0.004115
1223	0.013798	0.003962
1239	0.014031	0.004072
1255	0.014539	0.004189
1271	0.014909	0.004280
1287	0.015522	0.004376
1303	0.015828	0.004548
1319	0.016187	0.004592
1335	0.016635	0.004704
1351	0.016952	0.004831
1367	0.017103	0.004937
1383	0.017510	0.005060
1399	0.018032	0.005182
1415	0.018594	0.005278
1431	0.018740	0.005435
1447	0.019323	0.005557
1463	0.019646	0.005664
1479	0.020105	0.005788
1495	0.020576	0.005905
1511	0.020763	0.006055
1527	0.021354	0.006344
1543	0.021778	0.006334
1559	0.022237	0.006435
1575	0.022803	0.006590
1591	0.023403	0.006711
1607	0.023850	0.006829
1623	0.024304	0.006966
1639	0.024741	0.007113
1655	0.025585	0.007235
1671	0.026157	0.007373
1687	0.026484	0.007532
1703	0.027355	0.007681
1719	0.027769	0.007811
1735	0.028376	0.007982
1751	0.028744	0.008120
1767	0.029283	0.008250
1783	0.029846	0.008393
1799	0.030447	0.008546
1815	0.030910	0.008716
1831	0.031463	0.008865
1847	0.032324	0.009024
1863	0.033219	0.009187
1879	0.033884	0.009332
1895	0.034097	0.009498
1911	0.034502	0.009659
1927	0.035512	0.009850
1943	0.035907	0.009972
1959	0.036759	0.010153
1975	0.037474	0.010336
1991	0.037677	0.010476
2007	0.038267	0.010624
2023	0.038514	0.010815
2039	0.039245	0.011013
2055	0.039039	0.011168
2071	0.040078	0.011332
