TamMatriz	D1mrslow	D1mwslow	D1mrfast	D1mwfast
23	2429	697	2429	697
39	3161	839	3161	839
55	3489	1030	3489	1030
71	3802	1289	3802	1289
87	4104	1607	4104	1607
103	4416	1990	4416	1990
119	4790	2518	4790	2518
135	5968	3068	5777	3068
151	7179	3643	7228	3643
167	9085	4325	8815	4325
183	10270	5082	10418	5082
199	11774	5850	11520	5850
215	13958	6745	13095	6745
231	21204	7693	21332	7693
247	44756	8706	23108	8706
263	26701	9770	25016	9770
279	28936	10903	26935	10903
295	31863	12113	28991	12113
311	34774	13408	31095	13408
327	36987	14698	33224	14698
343	40114	16143	35447	16143
359	43097	17617	37761	17617
375	45856	19113	40044	19113
391	49085	20757	42506	20757
407	52957	22453	45012	22453
423	56418	24207	47572	24207
439	59170	25990	50150	25990
455	199803	27834	52853	27834
471	67353	29794	55597	29794
487	85124	31806	58428	31806
503	174552	33884	61319	33884
519	80109	36036	64280	36036
535	259953	38254	67316	38254
551	89427	40529	70405	40529
567	94190	42900	73567	42900
583	99107	45322	76807	45322
599	123896	47839	80143	47839
615	110456	50379	83488	50379
631	115486	52965	86889	52965
647	121083	55628	90362	55628
663	127968	58434	93988	58434
679	133764	61251	97600	61251
695	139652	64107	101286	64107
711	296659	67101	105055	67101
727	153105	70094	108890	70094
743	159329	73200	112754	73200
759	284519	76363	116766	76363
775	173600	79562	120735	79562
791	299480	82851	124858	82851
807	188672	86202	129003	86202
823	197163	89621	133262	89621
839	205808	93146	137567	93146
855	213063	96669	141912	96669
871	221403	100299	146334	100299
887	231456	104024	150873	104024
903	235073	107767	155426	107767
919	248687	111563	160040	111563
935	258444	115474	164733	115474
951	268409	119450	169545	119450
967	278542	123494	174365	123494
983	1018037	127602	179297	127602
999	1037883	131772	184266	131772
1015	516336	136001	189299	136001
1031	599659	140300	194400	140300
1047	661341	144660	199568	144660
1063	764925	149088	204802	149088
1079	354670	153586	210103	153586
1095	366274	158141	215468	158141
1111	378025	162763	220896	162763
1127	390014	167435	226365	167435
1143	1376344	172240	231971	172240
1159	1443788	177101	237644	177101
1175	429380	181979	243316	181979
1191	442154	186916	249079	186916
1207	709224	192012	254925	192012
1223	1194822	197092	260861	197092
1239	589271	212197	276707	212197
1255	565767	217563	282905	217563
1271	1273561	222929	289065	222929
1287	627423	228489	295450	228489
1303	1803472	234034	301783	234034
1319	616357	239694	308268	239694
1335	1901831	245378	314740	245378
1351	1405376	251133	321320	251133
1367	618161	257011	327979	257011
1383	636668	262900	334671	262900
1399	646726	268863	341437	268863
1415	1982819	274911	348286	274911
1431	886257	281035	355198	281035
1447	695286	287211	362205	287211
1463	726180	293432	369190	293432
1479	1511645	299726	376309	299726
1495	2250712	306092	383465	306092
1511	2297200	312539	390712	312539
1527	948697	319063	398044	319063
1543	826264	325637	405422	325637
1559	844704	332286	412857	332286
1575	1120923	338987	420363	338987
1591	2001434	345747	427923	345747
1607	2629010	352629	435592	352629
1623	1510385	359532	443307	359532
1639	2088495	366543	451102	366543
1655	2613060	373559	458918	373559
1671	2735667	380655	466813	380655
1687	1801746	387858	474824	387858
1703	3093913	395123	482846	395123
1719	1578541	402407	490982	402407
1735	1085197	409801	499116	409801
1751	2903933	417266	507418	417266
1767	1327145	424741	515670	424741
1783	1471853	432377	524126	432377
1799	1165932	439962	532499	439962
1815	3421215	447739	541098	447739
1831	1241205	455505	549615	455505
1847	3149341	463362	558303	463362
1863	2007002	471308	567018	471308
1879	3031537	479247	575764	479247
1895	1332772	487338	584643	487338
1911	3941944	495473	593561	495473
1927	1675990	503629	602510	503629
1943	1464224	511887	611594	511887
1959	4094602	520217	620694	520217
1975	2724599	528632	629933	528632
1991	2101539	537094	639180	537094
2007	2033272	545611	648490	545611
2023	2119550	554196	657851	554196
2039	3705148	562841	667292	562841
2055	2632656	571573	676828	571573
2071	3812565	580361	686393	580361
