tamanio	tiempoNormal	D1mrNormal	D1mwNormal	tiempoTrasp	D1mrTrasp	D1mwTrasp
23	0.004692	2496	786	0.004587	2501	856
39	0.020079	2731	1181	0.019658	2814	1382
55	0.056228	3256	1757	0.053645	3746	2200
71	0.117998	47908	2529	0.113876	49256	3241
87	0.215804	85863	3483	0.206141	87833	4526
103	0.357343	140459	4630	0.341353	143281	6070
119	0.551665	215136	5968	0.526384	218740	7868
135	0.807967	312710	7498	0.767969	317311	9919
151	1.126151	436140	9220	1.080853	441889	12229
167	1.527578	588629	11134	1.460764	595658	14795
183	2.011658	773285	13240	1.922176	781665	17617
199	2.589371	993063	15537	2.465351	1003021	20694
215	3.275786	1251149	18028	3.116022	1262767	24028
231	4.068411	1552028	20878	3.858685	1563987	27619
247	4.965192	1900844	24043	4.715757	1909757	31470
263	5.998476	2320616	28372	5.691054	2303153	35749
279	7.219911	3060519	40807	6.799924	2747246	40205
295	8.503864	3531930	38602	8.033651	3245067	44893
311	9.972891	4645452	52956	9.409923	3799878	50930
327	11.618540	5241933	65313	10.939286	4414309	54981
343	13.515428	12643742	91393	12.620817	5093556	75621
359	15.498811	18028500	108390	14.477710	5838175	91292
375	17.620955	11994416	132556	16.388317	6649879	77366
391	20.115381	27140353	162016	18.757050	7537456	113161
407	22.489998	47658289	169339	21.172887	8501453	161554
423	25.187319	70066962	192958	23.771476	9544547	206282
439	28.473748	96185784	231852	26.567874	10670529	253499
455	31.917805	90964415	246625	29.610361	11875068	235656
471	35.635514	101247272	276117	32.807792	13170596	248290
487	38.795520	138461552	297260	36.289098	14557825	316965
503	43.663953	159317031	317066	40.104230	16037935	348536
519	47.567252	175281229	337512	44.275929	17613300	371255
535	52.115997	191827502	358598	48.161894	19288129	394451
