tamanio tiempoSerie tiempoParalelo SpeedUp
8 0.000004 0.000141 .0283
40 0.000446 0.000310 1.4387
72 0.002233 0.002097 1.0648
104 0.006222 0.002920 2.1308
136 0.014299 0.009862 1.4499
168 0.022074 0.011180 1.9744
200 0.034637 0.020743 1.6698
232 0.053504 0.036295 1.4741
264 0.082719 0.051300 1.6124
296 0.115299 0.068381 1.6861
328 0.157758 0.088278 1.7870
360 0.214618 0.125863 1.7051
392 0.297515 0.173630 1.7134
424 0.387964 0.214655 1.8073
456 0.471082 0.275651 1.7089
488 0.602766 0.329086 1.8316
520 0.711622 0.402074 1.7698
552 0.912602 0.498113 1.8321
584 1.184551 0.609171 1.9445
616 1.386755 0.740597 1.8724
648 1.759577 0.881975 1.9950
680 2.179482 1.051271 2.0731
712 2.307670 1.343495 1.7176
744 3.013027 1.488495 2.0242
776 3.610630 1.471423 2.4538
808 3.578801 2.376533 1.5058
840 3.546620 2.636623 1.3451
872 4.088911 2.986815 1.3689
904 6.755679 3.418044 1.9764
936 5.118705 2.869010 1.7841
968 8.619418 3.042034 2.8334
1000 6.251154 3.351068 1.8654
1032 7.070746 3.846857 1.8380
